,steps,a1_b1,a1_b2,a1_b3,a1_b4,a1_c1,a1_c2,a1_c3,a1_c4,a1_d1,a1_d2,a1_d3,a1_d4,a2_b1,a2_b2,a2_b3,a2_b4,a2_c1,a2_c2,a2_c3,a2_c4,a2_d1,a2_d2,a2_d3,a2_d4,a3_b1,a3_b2,a3_b3,a3_b4,a3_c1,a3_c2,a3_c3,a3_c4,a3_d1,a3_d2,a3_d3,a3_d4,a4_b1,a4_b2,a4_b3,a4_b4,a4_c1,a4_c2,a4_c3,a4_c4,a4_d1,a4_d2,a4_d3,a4_d4,b1_c1,b1_c2,b1_c3,b1_c4,b1_d1,b1_d2,b1_d3,b1_d4,b2_c1,b2_c2,b2_c3,b2_c4,b2_d1,b2_d2,b2_d3,b2_d4,b3_c1,b3_c2,b3_c3,b3_c4,b3_d1,b3_d2,b3_d3,b3_d4,b4_c1,b4_c2,b4_c3,b4_c4,b4_d1,b4_d2,b4_d3,b4_d4,c1_d1,c1_d2,c1_d3,c1_d4,c2_d1,c2_d2,c2_d3,c2_d4,c3_d1,c3_d2,c3_d3,c3_d4,c4_d1,c4_d2,c4_d3,c4_d4
0,0.0,0.1173,0.1208,0.1177,0.1272,0.1179,0.1315,0.1273,0.1349,0.1227,0.1237,0.1218,0.119,0.1235,0.1324,0.1342,0.1281,0.1222,0.1118,0.1207,0.1283,0.1261,0.1316,0.128,0.1259,0.1227,0.1167,0.1265,0.1213,0.1298,0.1259,0.1354,0.1271,0.1196,0.1183,0.1242,0.1209,0.1241,0.1284,0.1305,0.1286,0.1261,0.1171,0.1195,0.1245,0.1322,0.1292,0.1282,0.1286,0.1226,0.1172,0.1197,0.1219,0.1244,0.1246,0.1334,0.126,0.1244,0.1197,0.1329,0.124,0.1294,0.1245,0.1246,0.1307,0.1138,0.123,0.1209,0.1237,0.1261,0.1284,0.1317,0.1222,0.1294,0.1174,0.1248,0.1294,0.1327,0.1242,0.125,0.1273,0.1173,0.1208,0.1177,0.1272,0.1179,0.1315,0.1273,0.1349,0.1227,0.1237,0.1218,0.119,0.1235,0.1324,0.1342,0.1281
1,20.0,0.154,0.1324,0.1682,0.1104,0.1159,0.0993,0.1211,0.1131,0.1411,0.0801,0.1413,0.0925,0.1504,0.1262,0.1244,0.1296,0.1322,0.1559,0.1386,0.1383,0.1099,0.1196,0.1183,0.1016,0.0946,0.1379,0.097,0.1255,0.1095,0.1508,0.1363,0.134,0.1446,0.1179,0.1681,0.1344,0.1137,0.1243,0.1156,0.0958,0.111,0.1259,0.13,0.0881,0.1235,0.1437,0.1215,0.1419,0.1287,0.136,0.1488,0.1479,0.0991,0.1296,0.1098,0.0995,0.1204,0.1597,0.1316,0.1433,0.098,0.1389,0.1,0.1087,0.1426,0.1276,0.1607,0.1305,0.1021,0.1011,0.1363,0.0985,0.1584,0.1447,0.1358,0.1161,0.0897,0.1384,0.1024,0.1151,0.154,0.1324,0.1682,0.1104,0.1159,0.0993,0.1211,0.1131,0.1411,0.0801,0.1413,0.0925,0.1504,0.1262,0.1244,0.1296
2,40.0,0.1336,0.1458,0.0987,0.1323,0.1029,0.131,0.1265,0.1374,0.1041,0.1447,0.12,0.1292,0.127,0.1403,0.1072,0.1193,0.1267,0.1451,0.14,0.0986,0.1267,0.1374,0.1128,0.1209,0.1178,0.1443,0.1327,0.1032,0.1298,0.1042,0.1451,0.1147,0.124,0.1219,0.1195,0.145,0.1339,0.104,0.1265,0.1334,0.1094,0.113,0.1203,0.1553,0.1255,0.1031,0.1345,0.1307,0.1152,0.1148,0.1483,0.0893,0.151,0.1507,0.1526,0.1075,0.1136,0.1074,0.1006,0.1308,0.1212,0.1581,0.1291,0.1098,0.1226,0.0968,0.1052,0.143,0.1646,0.1036,0.1338,0.1598,0.1131,0.1112,0.1204,0.1077,0.0925,0.1304,0.1414,0.1539,0.1336,0.1458,0.0987,0.1323,0.1029,0.131,0.1265,0.1374,0.1041,0.1447,0.12,0.1292,0.127,0.1403,0.1072,0.1193
3,60.0,0.1366,0.1287,0.1943,0.1744,0.1488,0.0587,0.1367,0.1134,0.1133,0.107,0.0706,0.1409,0.1403,0.101,0.1302,0.1051,0.1307,0.1678,0.1583,0.1772,0.114,0.0954,0.1224,0.1258,0.1122,0.0728,0.1272,0.1196,0.1199,0.0752,0.1529,0.1286,0.155,0.1149,0.1672,0.1969,0.0917,0.1221,0.123,0.1208,0.0615,0.118,0.1052,0.1471,0.1252,0.1166,0.1504,0.0844,0.1321,0.0642,0.1635,0.1792,0.1025,0.0999,0.0776,0.1154,0.1301,0.1196,0.1611,0.121,0.1121,0.1275,0.1586,0.1356,0.119,0.1414,0.1612,0.1174,0.0822,0.1101,0.1236,0.0795,0.136,0.0949,0.1422,0.1587,0.0962,0.1252,0.1188,0.1936,0.1366,0.1287,0.1943,0.1744,0.1488,0.0587,0.1367,0.1134,0.1133,0.107,0.0706,0.1409,0.1403,0.101,0.1302,0.1051
4,80.0,0.167,0.2345,0.1483,0.1252,0.0533,0.0807,0.1063,0.1563,0.1251,0.1635,0.0754,0.07,0.109,0.1533,0.0874,0.1447,0.1441,0.1637,0.1801,0.1871,0.1251,0.1069,0.0979,0.0667,0.1114,0.1301,0.1074,0.0851,0.0626,0.1983,0.1054,0.1281,0.1924,0.146,0.1553,0.1813,0.054,0.1589,0.0569,0.1268,0.1458,0.0991,0.101,0.0881,0.098,0.1426,0.1402,0.1136,0.0855,0.1648,0.0784,0.1257,0.131,0.1285,0.2024,0.1701,0.1224,0.1294,0.1032,0.0624,0.1043,0.1763,0.1068,0.1088,0.1542,0.0965,0.1206,0.0831,0.1946,0.1336,0.1395,0.1643,0.092,0.1336,0.0958,0.096,0.0494,0.1829,0.0975,0.1664,0.167,0.2345,0.1483,0.1252,0.0533,0.0807,0.1063,0.1563,0.1251,0.1635,0.0754,0.07,0.109,0.1533,0.0874,0.1447
5,100.0,0.1668,0.1152,0.1263,0.1489,0.0901,0.1248,0.1016,0.0811,0.1057,0.1398,0.1194,0.1385,0.1104,0.1104,0.1591,0.1619,0.1661,0.1578,0.082,0.1513,0.0857,0.061,0.126,0.1249,0.1212,0.0932,0.1345,0.1545,0.2288,0.0876,0.1023,0.1231,0.1845,0.1051,0.1372,0.1304,0.1078,0.0985,0.0851,0.1062,0.1504,0.1562,0.1064,0.0904,0.1935,0.141,0.1339,0.0734,0.1066,0.0716,0.1134,0.1814,0.1228,0.0752,0.1464,0.1458,0.2022,0.1486,0.0775,0.0781,0.1702,0.1042,0.1075,0.1485,0.0973,0.2011,0.0806,0.094,0.1539,0.0982,0.1089,0.1292,0.206,0.0775,0.1599,0.063,0.179,0.124,0.1132,0.1142,0.1668,0.1152,0.1263,0.1489,0.0901,0.1248,0.1016,0.0811,0.1057,0.1398,0.1194,0.1385,0.1104,0.1104,0.1591,0.1619
6,120.0,0.083,0.1582,0.184,0.194,0.1398,0.1194,0.1853,0.1345,0.0873,0.0933,0.0809,0.0395,0.1605,0.0911,0.1166,0.1326,0.1499,0.1798,0.1625,0.127,0.0939,0.1638,0.1445,0.1768,0.0734,0.0813,0.072,0.0743,0.0962,0.1035,0.139,0.1621,0.2003,0.1022,0.1266,0.1901,0.1952,0.1734,0.1261,0.0843,0.0831,0.0606,0.0783,0.079,0.1304,0.166,0.1254,0.079,0.1053,0.1276,0.1247,0.113,0.0861,0.1401,0.0843,0.1515,0.1242,0.1731,0.112,0.1575,0.0978,0.0876,0.197,0.1182,0.145,0.1287,0.1096,0.0873,0.1339,0.146,0.0803,0.1018,0.1768,0.1266,0.1467,0.1167,0.1533,0.1009,0.1198,0.1266,0.083,0.1582,0.184,0.194,0.1398,0.1194,0.1853,0.1345,0.0873,0.0933,0.0809,0.0395,0.1605,0.0911,0.1166,0.1326
7,140.0,0.0977,0.1806,0.0895,0.2214,0.1055,0.1181,0.1757,0.1795,0.0987,0.0959,0.1382,0.0634,0.0667,0.116,0.1218,0.1313,0.1231,0.1696,0.158,0.1385,0.1585,0.1948,0.123,0.1025,0.0948,0.0939,0.1381,0.0694,0.1244,0.1169,0.1333,0.0612,0.1323,0.1631,0.1058,0.188,0.1047,0.1055,0.1297,0.2389,0.0851,0.0743,0.0728,0.164,0.0995,0.1317,0.0859,0.1187,0.0799,0.0883,0.1614,0.039,0.1005,0.1396,0.1394,0.1311,0.194,0.1478,0.1362,0.0472,0.1264,0.1995,0.1154,0.1543,0.0376,0.0887,0.1046,0.1377,0.1216,0.1189,0.0742,0.1959,0.1063,0.0811,0.1244,0.2134,0.1561,0.1859,0.091,0.1626,0.0977,0.1806,0.0895,0.2214,0.1055,0.1181,0.1757,0.1795,0.0987,0.0959,0.1382,0.0634,0.0667,0.116,0.1218,0.1313
8,160.0,0.1042,0.0836,0.0623,0.1069,0.1625,0.082,0.1927,0.1686,0.1179,0.0555,0.1108,0.0838,0.242,0.1129,0.1968,0.1175,0.0865,0.089,0.0944,0.0871,0.2316,0.1418,0.1041,0.1283,0.075,0.112,0.1125,0.0685,0.1851,0.1194,0.1096,0.2551,0.0779,0.0188,0.1111,0.1492,0.1281,0.1288,0.1899,0.159,0.0917,0.146,0.0526,0.0777,0.1207,0.164,0.183,0.2015,0.1975,0.1376,0.1106,0.1809,0.0383,0.0769,0.0773,0.1415,0.2146,0.0811,0.1358,0.1311,0.1278,0.1666,0.0969,0.0855,0.0915,0.1516,0.2116,0.1719,0.0882,0.0589,0.0667,0.1202,0.1135,0.1649,0.1445,0.1397,0.1252,0.0822,0.1138,0.1556,0.1042,0.0836,0.0623,0.1069,0.1625,0.082,0.1927,0.1686,0.1179,0.0555,0.1108,0.0838,0.242,0.1129,0.1968,0.1175
9,180.0,0.0956,0.2094,0.0397,0.1731,0.0851,0.1994,0.1161,0.173,0.1562,0.2016,0.1117,0.1351,0.0215,0.0598,0.1015,0.1212,0.0738,0.2165,0.0959,0.1316,0.0923,0.2486,0.137,0.0957,0.1201,0.1241,0.0368,0.3236,0.0952,0.08,0.0363,0.0925,0.1824,0.0789,0.1931,0.0634,0.1542,0.0946,0.1925,0.1323,0.2175,0.213,0.0726,0.1015,0.1393,0.0537,0.0404,0.0706,0.1147,0.1106,0.0147,0.1184,0.0784,0.22,0.1499,0.2219,0.135,0.0759,0.0381,0.12,0.0533,0.2627,0.1033,0.1831,0.1603,0.1144,0.0514,0.0323,0.2075,0.1202,0.2329,0.1096,0.0798,0.1068,0.0581,0.1243,0.2458,0.0988,0.1562,0.1016,0.0956,0.2094,0.0397,0.1731,0.0851,0.1994,0.1161,0.173,0.1562,0.2016,0.1117,0.1351,0.0215,0.0598,0.1015,0.1212
