Population,a0,a1,b0,b1,c0,c1,d0,d1,e0,e1,f0,f1,g0,g1,h0,h1,i0,i1,j0,j1,k0,k1,l0,l1
BR01,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,259,259
BR02,72,72,81,81,100,100,110,114,0,0,120,120,120,120,141,141,187,187,180,180,232,232,250,256
BR04,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,187,187,180,180,232,232,250,256
BR05,72,72,81,85,100,100,114,114,120,120,120,120,120,122,141,141,187,187,180,180,232,232,250,256
BR06,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
BR07,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,187,180,180,232,232,259,259
BR08,72,72,91,91,100,100,110,114,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,259
BR10,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
BR11,72,72,81,81,100,100,110,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
BR12,72,72,91,91,100,100,110,114,0,0,120,120,120,120,141,141,187,187,180,180,232,232,250,259
BR13,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,256,256
BR14,72,72,85,85,100,100,0,0,0,0,120,120,122,122,141,141,158,187,180,180,232,232,259,259
BR15,72,72,81,91,100,100,114,114,0,0,120,120,120,122,141,141,187,187,180,180,0,0,250,259
BR16,72,72,91,91,100,100,114,114,0,0,120,120,122,122,141,141,158,158,180,180,232,232,250,259
BR17,72,72,81,81,100,100,110,110,0,0,120,120,122,122,141,141,158,187,180,180,232,232,0,0
BR18,72,72,81,91,100,100,114,114,0,0,120,120,120,122,141,141,158,187,180,180,232,232,256,256
BR19,72,72,81,85,100,100,114,116,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
BR20,72,72,81,81,100,100,114,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,259
BR22,72,72,85,91,100,100,0,0,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,259
BR23,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,270,270
BR24,72,72,91,91,100,100,110,114,0,0,120,120,122,122,0,0,158,187,180,180,232,232,250,259
BR25,72,72,91,91,100,100,110,114,0,0,120,120,120,120,141,141,158,158,180,180,232,232,250,259
BR27,72,72,81,81,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
BR28,72,72,91,91,100,100,110,114,0,0,120,120,120,122,141,141,158,187,180,180,232,232,256,259
BR29,72,72,81,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,256
BR30,72,72,81,93,100,100,110,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,259,259
BR31,72,72,85,91,100,100,114,120,0,0,120,120,120,122,141,141,187,187,180,180,232,232,259,259
BR32,72,72,91,91,100,100,110,110,0,0,120,120,120,122,141,141,158,158,180,180,232,232,250,250
BR33,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,256,256
BR35,72,72,81,91,100,100,110,114,0,0,120,120,122,122,141,141,187,187,180,180,235,235,258,258
BR36,72,72,91,91,100,100,114,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,256
BR38,72,72,81,85,100,100,0,0,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,256
BR39,72,72,91,91,100,100,114,116,0,0,120,120,122,122,141,141,158,187,174,180,232,232,259,259
BR40,72,72,81,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
Pop,,,,,,,,,,,,,,,,,,,,,,,,
US02,72,72,91,91,100,100,0,0,0,0,120,120,120,122,141,141,187,187,177,180,232,232,256,256
US03,72,72,81,91,100,100,114,118,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,256
US04,72,72,91,91,100,100,0,0,0,0,120,120,122,122,141,141,158,187,177,180,232,232,256,259
US05,72,72,85,91,100,100,114,116,0,0,120,120,122,122,141,141,187,187,177,180,232,232,256,256
US06,72,72,81,91,100,100,116,116,0,0,120,120,122,122,141,141,158,187,177,180,232,232,256,256
US07,72,72,85,91,100,100,112,116,0,0,120,120,122,122,141,141,187,187,177,177,232,232,256,256
US08,72,72,85,85,100,100,114,118,0,0,120,120,122,122,141,141,158,187,180,180,232,232,250,259
US09,72,72,81,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,177,180,232,232,256,259
US10,72,72,85,91,100,100,110,118,0,0,120,120,122,122,141,141,158,187,180,180,235,235,256,256
US12,72,72,81,85,100,100,112,118,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,256
US13,72,72,85,91,100,100,0,0,0,0,120,120,122,122,141,141,187,187,180,180,232,232,259,259
